Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Boliger og personer efter boligstørrelse_01. Antal boliger_0-39 m2,Boliger og personer efter boligstørrelse_02. Antal boliger_40-79 m2,Boliger og personer efter boligstørrelse_03.Antal boliger_80-119 m2,Boliger og personer efter boligstørrelse_04. Antal boliger_120-159 m2,Boliger og personer efter boligstørrelse_05. Antal boliger_160-199 m2,Boliger og personer efter boligstørrelse_06. Antal boliger_200+ m2,Boliger og personer efter boligstørrelse_07. Antal boliger_Uoplyst areal,Boliger og personer efter boligstørrelse_08. Antal personer_0-39 m2,Boliger og personer efter boligstørrelse_09. Antal personer_40-79 m2,Boliger og personer efter boligstørrelse_10. Antal personer_80-119 m2,Boliger og personer efter boligstørrelse_11. Antal personer_120-159 m2,Boliger og personer efter boligstørrelse_12. Antal personer_160-199 m2,Boliger og personer efter boligstørrelse_13. Antal personer_200+ m2,Boliger og personer efter boligstørrelse_14. Antal_personer_Uoplyst areal
,269001,35,5,2,20,252,659,638,297,122,19,24,344,1485,1739,881,399,44
,269004,35,5,2,41,323,1035,1072,468,207,245,49,405,2272,2901,1404,673,519
,269005,35,5,2,34,798,1563,1174,545,179,13,38,1067,3473,3206,1725,563,44
,270001,23,3,1,11,389,652,619,198,134,4,27,574,1333,1547,545,497,61
,270002,23,3,1,8,246,436,375,171,127,7,10,361,923,919,452,426,22
,270003,23,3,1,0,17,40,35,40,63,2,0,26,101,109,124,225,3
,270004,23,3,1,17,386,739,566,235,149,10,20,573,1673,1538,722,513,32
,270005,23,3,1,0,38,173,351,226,134,2,0,54,353,873,638,411,8
,270006,23,3,1,29,600,1053,860,397,185,13,37,776,2103,2114,1089,554,19
,270007,23,3,1,16,74,214,181,76,83,2,26,112,411,463,201,321,2
,270008,23,3,1,91,728,1329,908,389,200,12,99,927,2870,2428,1147,684,120
,270009,23,3,1,1,23,98,125,74,80,3,1,42,184,301,200,291,8
,270010,23,3,1,1,96,242,494,217,141,1,2,141,519,1299,639,460,2
,270011,23,3,1,26,229,412,324,135,124,3,27,329,841,841,405,420,16
,270012,23,3,1,6,167,319,265,92,51,2,9,239,657,609,220,145,5
,306001,38,5,2,36,457,671,516,210,132,8,41,573,1260,1220,561,372,11
,306002,38,5,2,19,349,550,481,210,150,1,24,523,1143,1189,566,440,3
,306003,38,5,2,43,302,341,263,143,123,3,49,451,652,622,383,343,6
,306004,38,5,2,16,332,401,432,190,155,5,27,459,890,1093,520,472,12
,306005,38,5,2,8,181,232,158,46,52,3,10,258,401,337,123,168,3
,306006,38,5,2,23,380,409,356,219,142,11,33,501,813,843,556,428,19
,306007,38,5,2,57,1109,1106,709,239,104,17,62,1456,2001,1608,656,292,48
,306008,38,5,2,9,190,255,239,101,71,8,11,241,417,476,227,177,12
,306010,38,5,2,9,74,213,183,88,107,7,10,111,406,440,219,283,14
,306011,38,5,2,49,559,595,403,167,105,11,62,777,1048,929,430,298,82
,306012,38,5,2,3,67,123,66,50,40,1,5,85,197,162,132,89,1
,306013,38,5,2,8,78,140,145,76,50,1,9,104,292,337,203,149,1
,316001,37,5,2,102,924,1795,1070,573,199,5,117,1289,4172,2829,1751,673,24
,316002,37,5,2,272,1587,2221,544,296,130,39,296,2159,4695,1494,920,398,120
,316003,37,5,2,85,1445,1397,342,96,34,5,99,1969,2658,870,264,125,12
,316004,37,5,2,20,143,311,704,261,183,0,22,209,686,1833,730,550,0
,316005,37,5,2,3,199,492,685,314,151,0,6,268,1104,1887,909,485,0
,316006,37,5,2,14,179,307,267,155,128,1,18,238,563,615,398,400,4
,316007,37,5,2,26,385,702,585,301,189,6,31,506,1463,1512,871,636,19
,316008,37,5,2,20,210,373,487,220,179,2,25,272,799,1206,604,583,5
,316009,37,5,2,54,202,336,620,290,205,1,58,282,693,1629,866,697,1
,316010,37,5,2,12,188,378,436,228,168,4,14,265,798,1059,646,532,16
,316011,37,5,2,21,566,873,543,265,154,3,28,776,1767,1333,762,476,4
,316012,37,5,2,4,289,540,548,278,182,4,4,418,1164,1345,793,606,10
,316013,37,5,2,6,364,563,453,183,94,5,13,478,1173,1114,530,306,18
,316014,37,5,2,9,238,358,462,239,166,1,9,320,785,1213,687,510,1
,316015,37,5,2,11,147,166,104,39,30,1,16,210,297,221,131,75,1
,320001,33,5,2,67,320,862,1043,581,239,32,77,434,1812,2671,1676,816,98
,320002,33,5,2,153,929,1452,851,441,238,14,185,1206,3089,2152,1266,754,28
,320003,33,5,2,42,611,767,561,259,134,7,44,766,1619,1367,706,400,13
,320004,33,5,2,24,361,628,530,233,149,6,28,474,1149,1243,606,438,40
,320005,33,5,2,18,214,702,475,241,206,1,79,259,1402,1130,638,602,5
,320006,33,5,2,4,150,411,511,240,196,6,4,203,878,1310,673,578,12
,320007,33,5,2,2,166,529,509,243,187,2,4,212,1017,1215,657,535,6
,326001,38,5,2,13,243,544,413,239,180,1,16,313,1033,954,608,555,11
,326002,38,5,2,2,35,85,52,20,16,0,2,45,126,97,38,34,0
,326003,38,5,2,16,437,648,571,240,180,2,17,569,1269,1404,632,536,6
,326004,38,5,2,15,387,460,346,168,103,0,15,506,900,838,479,296,0
,326005,38,5,2,3,153,249,180,135,110,0,3,220,460,439,334,318,0
,326006,38,5,2,1,80,100,90,35,14,1,1,114,185,192,71,40,1
,326007,38,5,2,9,128,196,123,67,53,0,12,180,368,265,191,159,0
,326008,38,5,2,1,216,404,443,192,164,0,1,281,794,1092,507,506,0
,326009,38,5,2,49,503,846,572,233,175,1,50,627,1648,1435,616,564,1
,326010,38,5,2,2,76,205,214,125,154,2,2,120,415,518,312,419,3
,326011,38,5,2,0,28,150,166,116,137,0,0,40,321,390,288,380,0
,326012,38,5,2,88,752,639,394,164,91,5,101,967,1191,935,401,271,134
,326013,38,5,2,51,818,721,271,53,22,2,53,1117,1412,644,157,66,4
,326014,38,5,2,2,54,194,216,112,117,1,6,72,380,561,310,348,1
,326015,38,5,2,8,134,463,559,203,118,1,9,170,995,1376,582,364,1
,326016,38,5,2,14,227,516,690,326,190,5,16,302,967,1665,892,560,11
,326017,38,5,2,2,52,134,105,62,46,0,3,74,239,227,138,110,0
,326018,38,5,2,40,772,809,381,173,69,0,42,1030,1776,892,476,206,0
,329001,39,5,2,156,1770,1906,927,459,196,100,219,2361,4047,2612,1416,581,275
,329002,39,5,2,1,12,74,95,57,75,2,4,26,168,261,146,254,2
,329003,39,5,2,0,15,74,93,62,66,2,0,20,161,236,173,221,16
,329004,39,5,2,50,444,925,681,302,89,4,83,633,2127,1792,883,316,16
,329005,39,5,2,2,24,128,158,83,128,4,6,50,273,404,216,374,12
,329006,39,5,2,104,1092,1144,430,170,72,1,116,1583,2699,1144,461,201,1
,329008,39,5,2,14,32,176,149,107,112,4,22,53,370,372,296,401,12
,329009,39,5,2,0,29,128,185,89,76,0,0,45,269,463,238,215,0
,329010,39,5,2,2,16,90,243,109,69,0,2,26,203,592,332,219,0
,329011,39,5,2,6,42,85,76,49,45,2,6,56,173,194,160,121,6
,329012,39,5,2,0,23,72,170,101,67,4,0,40,149,432,284,197,10
,329013,39,5,2,1,65,139,203,90,65,4,1,77,309,536,274,206,11
,329014,39,5,2,2,45,131,123,37,35,0,10,69,280,310,129,93,0
,330001,40,5,2,0,130,368,445,229,225,3,0,171,775,1109,621,624,9
,330003,40,5,2,16,83,203,169,131,132,3,20,107,411,452,397,398,8
,330004,40,5,2,3,96,219,256,133,98,0,4,132,434,635,343,281,0
,330005,40,5,2,43,1131,1553,760,353,116,5,46,1473,2935,1875,917,352,19
,330006,40,5,2,53,1346,1444,589,186,80,12,59,1930,3092,1392,502,235,22
,330007,40,5,2,3,118,311,409,135,62,1,4,178,630,981,355,212,2
,330008,40,5,2,3,136,383,533,221,157,2,3,181,820,1378,651,492,2
,330009,40,5,2,203,802,1533,497,254,107,7,221,1004,3487,1334,740,297,56
,330010,40,5,2,2,89,208,219,133,116,0,6,117,344,499,326,363,0
,330011,40,5,2,42,989,1474,980,501,289,19,80,1259,2789,2281,1322,841,41
,330012,40,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,330013,40,5,2,24,40,152,169,109,97,1,24,48,315,418,293,298,3
,330017,40,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,330019,40,5,2,573,2881,2044,886,362,172,17,628,4002,4306,2331,1039,556,211
,330021,40,5,2,221,547,948,802,349,119,6,274,822,1912,2107,973,334,13
,330022,40,5,2,130,1244,1824,626,270,111,12,162,1571,4133,1649,776,376,22
,330024,40,5,2,11,17,84,168,147,110,0,14,29,161,420,383,324,0
,330025,40,5,2,4,281,495,320,188,160,2,5,413,929,743,499,478,3
,336001,33,5,2,21,327,747,705,384,311,10,28,431,1562,1726,1059,939,65
,336002,33,5,2,23,403,973,910,555,267,10,26,574,1917,2305,1558,823,29
,336003,33,5,2,89,521,978,650,347,225,5,95,720,1931,1557,950,672,5
,336004,33,5,2,20,255,570,471,248,201,17,23,343,1107,1085,670,574,31
,340001,39,5,2,16,540,827,797,344,205,7,19,654,1653,1934,944,587,18
,340002,39,5,2,7,156,264,314,109,68,2,8,227,553,816,314,193,2
,340004,39,5,2,1,65,214,268,122,111,1,1,94,450,648,318,332,1
,340005,39,5,2,107,1004,799,534,239,108,9,124,1398,1456,1400,683,313,56
,340006,39,5,2,25,242,688,611,381,206,16,33,336,1403,1571,1114,614,58
,340008,39,5,2,11,190,633,524,270,185,4,14,246,1266,1306,738,590,12
,340010,39,5,2,26,403,672,657,370,288,3,32,530,1362,1626,1007,818,9
,350001,34,5,2,20,345,507,491,244,161,17,23,491,1107,1299,725,539,51
,350002,34,5,2,11,168,299,352,182,78,6,17,242,636,958,497,247,17
,350003,34,5,2,2,121,201,191,114,83,2,3,186,403,459,304,229,5
,350004,34,5,2,1,34,117,273,103,54,2,1,50,251,699,296,159,3
,350005,34,5,2,3,15,114,181,82,71,5,3,27,259,470,238,248,56
,350006,34,5,2,17,373,628,621,269,124,21,23,484,1384,1691,843,427,108
,350008,34,5,2,7,111,277,435,214,108,2,7,146,638,1120,656,341,8
,350009,34,5,2,6,191,297,354,192,136,4,6,295,639,899,557,442,16
,350011,34,5,2,4,119,212,515,190,86,9,4,154,485,1342,571,275,27
,350012,34,5,2,0,108,278,487,237,137,4,0,154,623,1280,669,474,10
,360001,29,5,2,0,50,117,122,39,52,1,0,71,196,225,92,142,2
,360003,29,5,2,5,220,476,371,147,108,2,5,269,819,778,318,275,7
,360008,29,5,2,0,65,118,149,75,80,0,0,74,187,303,170,184,0
,360011,29,5,2,11.74,200.43,334.57,331.50,146.71,135.10,8.16,11.90,254.64,583.51,722.38,354.56,374.75,16.16
,360013,29,5,2,72,968,1251,810,338,171,9,87,1206,2285,1825,880,441,125
,360014,29,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,360019,29,5,2,6,193,436,453,214,233,5,6,259,795,989,463,601,20
,360020,29,5,2,177,1335,1906,992,304,123,7,186,1632,3499,2300,783,320,9
,360021,29,5,2,13.20,614.02,741.35,668.73,280.13,162.23,2.83,16.03,778.14,1453.47,1576.09,705.51,441.42,2.83
,360026,29,5,2,2.05,35.54,77.07,85.77,42.16,28.67,0.01,2.07,46.22,120.02,157.53,81.92,65.83,0.01
,360027,29,5,2,1,38,91,62,47,21,8,1,49,153,97,99,51,10
,360028,29,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,360029,29,5,2,3,121,301,320,202,195,3,3,139,523,651,508,483,6
,360035,29,5,2,9,186,328,376,196,196,1,9,243,548,759,423,517,1
,360036,29,5,2,12,187,551,595,256,190,5,13,232,948,1231,605,511,5
,360037,29,5,2,13,280,356,183,70,27,6,14,342,632,380,177,74,75
,370001,32,5,2,8,417,619,541,255,224,1,9,544,1227,1237,682,679,1
,370002,32,5,2,2,25,92,130,79,103,0,18,41,168,299,172,323,0
,370003,32,5,2,1,143,269,237,139,124,0,1,223,537,575,361,376,0
,370004,32,5,2,7,95,270,381,242,147,0,7,118,513,951,692,435,0
,370005,32,5,2,1,20,86,138,93,73,0,2,27,184,341,239,215,0
,370006,32,5,2,5,111,303,316,192,153,1,7,146,672,764,552,511,42
,370007,32,5,2,5,57,190,193,136,116,1,6,83,374,450,389,367,3
,370008,32,5,2,13,397,700,684,346,108,1,15,545,1413,1787,1043,336,2
,370009,32,5,2,1,58,212,203,101,54,0,1,75,423,509,282,156,0
,370010,32,5,2,0,115,148,203,125,113,0,0,137,280,520,339,363,0
,370011,32,5,2,7,270,420,410,213,140,1,7,347,801,1100,609,428,4
,370012,32,5,2,0,10,47,70,56,48,0,0,19,93,166,162,136,0
,370014,32,5,2,4,277,547,497,239,172,1,5,377,1175,1251,672,517,3
,370020,32,5,2,19,589,726,537,292,141,1,20,771,1398,1411,849,440,5
,370021,32,5,2,128,1041,732,249,73,40,15,150,1356,1249,549,190,119,249
,370022,32,5,2,241,2225,1672,790,191,29,4,303,3283,3597,1981,530,107,7
,370023,32,5,2,91,983,946,620,305,93,1,101,1515,1994,1573,830,286,13
,370024,32,5,2,60,896,1271,552,312,138,3,67,1237,2448,1417,836,443,13
,370026,32,5,2,29,254,359,443,302,159,0,32,365,693,1120,804,553,0
,370027,32,5,2,82,554,1043,588,376,162,2,96,736,1986,1586,1154,527,4
,370028,32,5,2,214,788,1327,251,87,14,0,223,1031,2951,644,216,39,0
,370029,32,5,2,2,17,126,133,46,41,0,2,25,276,334,122,153,0
,370031,32,5,2,0,89,235,223,139,152,0,0,129,492,538,361,453,0
,370032,32,5,2,35,318,426,235,179,105,2,51,461,723,504,457,301,3
,376001,30,5,2,169,1223,970,354,122,72,24,186,1521,1640,804,307,238,146
,376002,30,5,2,143,682,749,444,148,42,10,169,942,1457,1078,404,130,16
,376003,30,5,2,55,669,640,449,159,66,0,63,994,1529,1002,418,177,0
,376004,30,5,2,127,918,763,437,186,50,5,140,1214,1417,1055,492,146,11
,376005,30,5,2,1,98,315,392,226,137,4,2,140,632,950,676,428,16
,376006,30,5,2,16,118,226,257,146,124,3,17,142,428,599,364,355,6
,376007,30,5,2,0,310,494,495,249,134,0,0,378,993,1174,662,372,0
,376008,30,5,2,11,280,440,420,201,168,9,22,346,772,862,458,432,16
,376009,30,5,2,0,75,196,217,126,148,0,0,98,328,483,307,377,0
,376010,30,5,2,11,334,454,444,189,153,8,15,407,820,1056,465,433,14
,376011,30,5,2,6,115,306,316,147,166,1,9,160,584,707,394,447,1
,376012,30,5,2,8,119,345,422,178,159,1,14,149,684,933,440,480,1
,376013,30,5,2,58,785,976,707,296,127,11,60,968,1789,1591,799,347,94
,376014,30,5,2,0,75,269,217,101,118,3,0,91,479,457,230,306,13
,376015,30,5,2,1,30,160,154,99,88,3,1,44,304,351,241,264,3
,376016,30,5,2,28,451,625,435,215,192,17,31,531,1142,897,542,516,27
,376017,30,5,2,13,97,388,448,228,253,4,17,141,705,993,624,698,6
,376018,30,5,2,9,146,262,275,122,105,1,9,188,509,633,337,274,3
,376019,30,5,2,3,290,591,484,210,143,11,3,412,1048,1026,535,366,22
,376020,30,5,2,5,151,251,204,68,72,0,8,189,419,381,136,178,0
,390001,31,5,2,241,1213,869,514,206,76,10,271,1618,1704,1245,538,224,162
,390002,31,5,2,29,705,989,350,109,58,5,37,937,1833,878,317,158,11
,390003,31,5,2,13,254,354,365,248,122,3,18,336,670,852,671,352,6
,390004,31,5,2,37,186,468,334,134,82,1,49,286,1033,884,372,255,1
,390005,31,5,2,1,65,138,156,88,98,0,5,80,248,382,238,304,0
,390006,31,5,2,13,194,477,471,277,253,0,18,298,932,1113,728,776,0
,390007,31,5,2,2,136,335,280,121,69,0,2,174,664,696,323,218,0
,390008,31,5,2,37,730,1004,678,279,216,8,45,871,1705,1523,651,588,15
,390009,31,5,2,8,129,208,211,125,117,1,8,166,362,429,282,298,2
,390010,31,5,2,3,145,292,265,179,194,3,4,179,541,599,446,547,8
,390011,31,5,2,2,120,170,144,76,63,1,2,172,309,307,196,196,8
,390012,31,5,2,27,605,791,492,224,119,4,28,736,1374,1112,554,318,7
,390013,31,5,2,5,64,119,162,100,84,0,11,90,250,378,250,243,0
,390014,31,5,2,2,79,119,66,53,66,2,6,115,223,158,127,173,4
,390015,31,5,2,4,146,240,260,113,109,3,13,201,472,643,300,324,7
,390016,31,5,2,4,166,354,307,138,95,0,5,210,630,634,320,247,0
,390017,31,5,2,2,90,307,284,149,70,5,3,112,591,688,393,218,16
,400001,28,4,1,12,258,525,456,247,207,47,13,308,883,896,514,542,102
,400002,28,4,1,3,156,375,400,238,269,4,3,199,686,809,593,632,10
,400003,28,4,1,3,134,339,303,146,135,6,6,169,596,609,337,383,14
,400004,28,4,1,63,458,873,525,233,175,1,84,560,1583,1139,599,525,4
,400005,28,4,1,3,75,255,233,117,133,1,3,100,436,472,272,340,1
,400006,28,4,1,15,382,763,696,384,342,7,21,461,1355,1570,980,933,15
,400007,27,4,1,1,82,370,355,203,186,2,1,113,661,811,533,535,4
,400008,27,4,1,317,1985,2996,1452,568,294,28,339,2534,5727,3344,1435,848,148
,400009,27,4,1,23,274,433,397,182,125,4,26,380,765,834,441,339,8
,410001,45,6,2,30,1095,1474,719,228,114,12,37,1389,2830,1677,648,339,52
,410002,45,6,2,67,465,1181,917,409,109,2,75,577,2335,2310,1200,340,41
,410003,45,6,2,9,141,533,640,378,206,9,13,187,1043,1547,1034,589,19
,410004,45,6,2,5,138,571,305,204,133,2,5,196,1162,798,634,388,4
,410005,45,6,2,0,97,191,177,107,110,15,0,111,372,432,297,337,33
,410006,45,6,2,11,296,562,435,258,184,8,16,365,1139,1078,726,556,24
,410007,45,6,2,3,55,191,207,172,161,3,3,80,354,502,488,483,8
,410008,45,6,2,9,241,467,330,195,191,4,11,323,940,737,497,517,8
,410009,45,6,2,7,202,357,328,165,177,4,9,258,688,803,435,510,14
,410010,45,6,2,8,171,314,260,202,209,4,9,218,544,651,520,631,19
,410011,45,6,2,2,60,165,237,123,123,0,3,79,320,577,318,341,0
,411001,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,420001,44,6,2,45,1051,1155,825,373,222,5,54,1332,2131,1835,874,592,43
,420002,44,6,2,1,71,231,255,131,151,0,1,94,457,585,341,464,0
,420003,44,6,2,0,11,78,125,59,85,0,0,18,160,292,143,232,0
,420004,44,6,2,0,19,92,99,73,97,1,0,29,194,237,188,284,5
,420005,44,6,2,4,385,547,473,301,202,0,4,455,1067,1211,848,583,0
,420006,44,6,2,1,13,79,115,59,58,0,1,19,160,262,146,152,0
,420007,44,6,2,1,35,113,148,123,132,1,2,54,224,360,311,396,1
,420008,44,6,2,21,292,464,386,188,162,2,21,371,886,918,521,482,13
,420009,44,6,2,1,61,113,132,83,92,0,1,83,207,313,221,261,0
,420010,44,6,2,1,35,81,117,87,91,3,2,56,170,272,230,295,6
,420011,44,6,2,19,404,803,769,403,276,2,19,531,1621,1910,1103,812,2
,420012,44,6,2,0,29,69,118,76,70,0,0,40,117,265,183,187,0
,420013,44,6,2,14,191,556,447,218,155,3,14,231,950,1029,584,424,8
,420014,44,6,2,0,22,71,95,69,60,0,0,34,137,209,177,167,0
,420015,44,6,2,1,52,153,259,169,96,1,1,77,295,616,494,253,4
,420016,44,6,2,2,162,238,230,146,105,0,3,212,430,589,435,344,0
,420017,44,6,2,14,181,348,305,165,102,0,16,246,730,818,480,317,0
,420018,44,6,2,1,124,157,191,129,131,1,1,167,314,462,350,385,2
,430001,48,6,2,1,39,214,241,117,93,1,1,58,409,594,298,289,2
,430002,48,6,2,1,103,179,171,105,81,0,1,127,360,422,286,239,0
,430003,48,6,2,1,131,267,258,144,127,3,1,156,484,603,365,394,6
,430004,48,6,2,0,46,134,110,101,88,1,0,70,247,228,245,245,2
,430005,48,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,430007,48,6,2,52,931,1583,1007,493,257,17,72,1155,2703,2237,1223,678,26
,430008,48,6,2,1,94,226,289,167,152,0,1,130,409,626,388,379,0
,430009,48,6,2,19,118,239,269,173,140,1,19,146,431,605,427,372,1
,430010,48,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,430011,48,6,2,2,116,236,294,207,148,2,2,142,441,651,510,365,4
,430012,48,6,2,1,95,244,239,143,112,4,1,113,436,512,344,286,9
,430013,48,6,2,1,35,146,204,124,106,2,1,50,298,484,318,331,8
,430014,48,6,2,2,44,130,205,112,139,4,2,52,244,465,284,416,11
,430015,48,6,2,80,748,1135,838,516,346,44,152,935,2244,2061,1448,1089,165
,430016,48,6,2,1,23,109,145,98,93,0,5,33,224,351,237,284,0
,430017,48,6,2,7,165,245,292,145,131,3,7,202,499,646,390,350,3
,430018,48,6,2,9,237,317,301,149,99,4,9,310,614,725,423,346,10
,430019,48,6,2,7,169,307,337,165,91,1,10,203,581,809,452,266,3
,430020,48,6,2,10,186,424,485,315,214,10,13,222,879,1242,898,619,20
,430021,48,6,2,0,149,217,259,133,105,3,0,171,412,663,369,311,9
,430022,48,6,2,2,194,523,620,379,191,5,13,249,1055,1617,1153,601,14
,440001,46,6,2,5,95,248,250,165,167,1,5,132,438,571,417,503,4
,440002,46,6,2,86,960,1149,752,336,175,20,98,1238,2101,1733,871,472,63
,440003,46,6,2,1,73,217,304,197,166,1,5,97,435,728,545,518,2
,440004,46,6,2,4,65,234,320,153,117,4,4,83,544,812,442,355,12
,440005,46,6,2,18,328,703,686,269,83,4,19,435,1355,1762,745,258,12
,440006,46,6,2,39,465,1350,584,267,157,3,45,568,2768,1465,708,436,8
,450001,46,6,2,0,56,205,215,138,131,0,0,75,410,493,341,405,0
,450002,46,6,2,94,1169,1991,937,383,110,16,104,1493,4109,2347,1068,402,47
,450003,46,6,2,35,955,1420,767,232,98,7,38,1261,2549,1760,595,294,12
,450004,46,6,2,11,248,358,206,173,100,1,11,326,651,552,531,295,3
,450005,46,6,2,0,23,122,148,80,84,0,0,29,246,368,214,224,0
,450006,46,6,2,7,210,458,398,196,88,0,7,249,917,989,554,270,0
,450007,46,6,2,0,8,44,84,44,29,0,0,9,104,191,111,86,0
,450008,46,6,2,0,18,60,87,44,41,0,0,18,125,204,120,118,0
,450009,46,6,2,0,27,90,112,83,74,0,0,44,169,279,224,204,0
,450010,46,6,2,9,214,314,199,116,87,1,9,252,535,472,305,266,6
,450011,46,6,2,4,55,138,156,119,132,0,4,76,259,366,279,393,0
,450012,46,6,2,4,42,128,167,124,78,0,4,56,244,403,336,264,0
,450013,46,6,2,0,26,140,148,100,86,1,0,39,281,373,294,236,12
,461001,41,6,2,363,3990,1941,511,129,32,11,407,5625,3875,1353,417,127,535
,461002,41,6,2,68,2381,1975,751,235,71,222,86,3400,4013,2240,820,291,293
,461003,41,6,2,77,1137,725,203,43,8,21,80,1692,1787,618,132,27,25
,461004,41,6,2,192,3090,1483,505,206,41,6,221,4391,3000,1461,692,146,9
,461005,41,6,2,104,1440,2083,278,146,16,158,146,1878,4814,823,456,44,209
,461006,41,6,2,24,59,355,492,185,69,0,26,69,742,1295,536,256,0
,461007,41,6,2,48,601,1135,657,262,110,3,59,785,2424,1912,878,413,7
,461009,41,6,2,28,275,683,366,159,100,6,30,427,1563,1066,469,361,17
,461011,42,6,2,487,3294,1933,784,252,97,16,561,4570,3941,2023,745,295,32
,461012,42,6,2,221,3218,1880,454,84,14,78,242,4823,4043,1273,310,48,127
,461013,42,6,2,1,37,159,160,99,55,1,1,55,312,397,288,183,3
,461014,42,6,2,18,1041,1027,606,315,125,3,40,1469,2142,1605,953,448,3
,461016,42,6,2,0,390,652,428,283,118,0,0,502,1253,1137,912,374,0
,461017,42,6,2,59,442,1307,778,288,79,5,65,649,2666,2034,835,251,13
,461018,42,6,2,75,313,1012,866,312,78,1,80,419,2001,2239,888,223,1
,461019,42,6,2,159,456,763,518,315,129,11,173,551,1488,1363,1017,462,45
,461020,42,6,2,9,193,649,663,344,136,1,10,238,1343,1658,971,418,2
,461021,42,6,2,3,98,372,353,217,203,4,4,143,827,910,652,628,9
,461023,43,6,2,401,3517,2067,769,329,166,67,454,4684,3813,1917,889,496,91
,461024,43,6,2,41,169,638,607,505,310,1,48,251,1285,1664,1469,997,1
,461025,43,6,2,564,1765,1938,477,189,47,1,626,2463,4014,1249,538,203,4
,461026,43,6,2,50,857,1832,1370,611,186,5,60,1096,3824,3570,1752,644,5
,461028,43,6,2,6,201,657,757,442,218,3,9,257,1227,1959,1248,748,3
,461029,43,6,2,75,708,939,742,329,96,13,83,969,2063,2144,1038,322,18
,461030,43,6,2,298,1026,1544,960,383,77,90,327,1421,3222,2518,1101,339,156
,461031,43,6,2,57,137,491,458,267,131,9,58,188,1107,1216,749,399,10
,461032,43,6,2,12,44,99,122,70,71,3,13,52,166,292,197,234,8
,461033,43,6,2,75,425,827,632,301,146,2,84,569,1789,1650,898,455,3
,461035,41,6,2,205,884,2749,455,79,28,37,219,1143,7540,1651,226,109,56
,461036,41,6,2,263,890,1054,300,80,17,2,280,1100,2177,822,232,65,5
,479001,47,6,2,640,2611,2636,1328,506,219,40,669,3291,4893,3312,1352,651,190
,479002,47,6,2,70,648,644,356,90,24,22,79,832,1320,941,260,73,46
,479003,47,6,2,148,1084,1494,640,229,85,6,160,1361,3237,1677,656,277,7
,479004,47,6,2,2.84,35.18,151.48,164.53,100.99,81.70,1.13,3.40,45.95,287.64,389.76,259.84,230.91,3.40
,479005,47,6,2,5,204,460,524,420,198,8,8,251,813,1234,1144,568,43
,479006,47,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,479007,47,6,2,11,67,277,377,227,148,2,14,88,547,861,574,442,5
,479008,47,6,2,2.16,26.82,115.52,125.47,77.01,62.30,0.87,2.60,35.05,219.36,297.24,198.16,176.09,2.60
,479009,47,6,2,23,172,300,306,227,163,3,24,222,625,767,661,467,6
,479010,47,6,2,4,101,354,565,349,188,4,6,118,633,1316,918,546,8
,479011,47,6,2,1,307,437,360,134,78,3,1,422,839,928,381,240,12
,479014,47,6,2,2,49,177,187,87,75,2,4,71,373,451,236,229,6
,479016,47,6,2,41,126,199,258,139,134,0,42,197,407,638,376,554,0
,479017,47,6,2,17,218,359,321,155,128,5,20,266,710,773,406,377,8
,479019,47,6,2,7,124,312,373,211,186,6,8,160,598,910,571,541,13
,479021,47,6,2,3,71,142,136,104,105,5,3,83,281,302,291,290,7
,479023,47,6,2,7,88,195,209,130,85,1,10,116,348,516,340,251,1
,479025,47,6,2,8,106,215,196,83,92,2,8,142,364,436,213,255,5
,479027,47,6,2,2,128,241,212,148,125,7,11,162,457,487,408,374,22
,480001,45,6,2,21,695,949,633,338,248,16,28,854,1807,1459,869,710,83
,480002,45,6,2,1,22,108,122,75,102,0,2,33,191,259,190,256,0
,480003,45,6,2,12,163,372,366,277,244,6,21,257,745,869,691,688,14
,480004,45,6,2,23,588,961,867,457,218,4,30,730,1836,2118,1265,645,9
,480005,45,6,2,0,18,108,159,103,103,4,0,33,230,377,284,318,7
,480006,45,6,2,1,62,151,195,110,102,0,1,92,288,483,287,275,0
,480007,45,6,2,10,50,142,171,105,105,0,10,77,297,424,266,304,0
,480008,45,6,2,7,71,217,329,286,233,6,7,99,437,832,826,686,15
,480009,45,6,2,1,57,146,197,124,145,1,1,75,284,466,310,429,3
,480010,45,6,2,27,408,521,538,330,202,6,32,514,1005,1340,977,601,14
,482001,47,6,2,1.08,59.62,161.19,152.85,62.93,50.54,1.05,1.09,80.06,263.36,310.80,132.43,110.66,1.06
,482002,47,6,2,5.67,163.41,379.39,371.18,181.60,166.71,2.95,10.39,196.95,653.69,751.50,422.55,410.19,3.94
,482005,47,6,2,27.25,675.97,1216.42,645.97,292.47,192.75,29,37.52,810.00,2102.94,1406.70,736.02,551.15,59
