Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_boliger_1940-1959
,101001,1,1,1,62
,101002,1,1,1,330
,101003,1,1,1,282
,101005,1,1,1,421
,101006,1,1,1,673
,101007,2,1,1,967
,101008,2,1,1,217
,101009,2,1,1,148
,101010,2,1,1,4
,101011,3,1,1,17
,101012,3,1,1,0
,101013,3,1,1,306
,101014,3,1,1,580
,101016,4,1,1,1060
,101017,4,1,1,901
,101018,4,1,1,588
,101019,4,1,1,874
,101020,5,1,1,30
,101021,5,1,1,726
,101022,5,1,1,130
,101023,5,1,1,2
,101024,5,1,1,235
,101025,5,1,1,337
,101027,6,1,1,2331
,101028,6,1,1,2960
,101029,6,1,1,1185
,101030,6,1,1,1346
,101031,7,1,1,292
,101032,7,1,1,685
,101033,7,1,1,86
,101034,7,1,1,1441
,101035,7,1,1,2336
,101036,7,1,1,2927
,101039,7,1,1,1091
,101040,7,1,1,557
,101041,7,1,1,2144
,101042,8,1,1,874
,101043,8,1,1,263
,101044,8,1,1,1393
,101046,8,1,1,1493
,101047,8,1,1,342
,101048,8,1,1,453
,101049,9,1,1,23
,101050,9,1,1,1
,101051,9,1,1,2742
,101052,9,1,1,24
,101053,9,1,1,207
,101054,9,1,1,1434
,101055,9,1,1,0
,101056,1,1,1,231
,101057,2,1,1,588
,101058,5,1,1,331
,101059,6,1,1,797
,147001,10,1,1,200
,147002,10,1,1,616
,147003,10,1,1,558
,147004,10,1,1,558
,147005,11,1,1,1452
,147006,11,1,1,1458
,147007,11,1,1,514
,147008,11,1,1,552
,151001,20,2,1,188
,151002,20,2,1,1838
,151003,20,2,1,53.29
,151004,20,2,1,50
,151005,20,2,1,287
,151006,20,2,1,1187
,151008,20,2,1,268
,151009,20,2,1,48.71
,151010,20,2,1,51
,153001,18,2,1,1143
,153002,18,2,1,1381
,153003,18,2,1,1073
,153004,18,2,1,1452
,153005,18,2,1,241.88
,153006,18,2,1,225.12
,155001,12,1,1,689
,155004,12,1,1,417
,157001,13,2,1,1423
,157002,13,2,1,1181
,157003,13,2,1,316
,157004,13,2,1,1843
,157005,13,2,1,578
,157006,13,2,1,330
,157007,13,2,1,262
,157008,13,2,1,294
,157009,13,2,1,505
,157010,13,2,1,631
,159001,15,2,1,1459.19
,159002,15,2,1,2112
,159003,15,2,1,1097
,159004,15,2,1,1213
,159005,15,2,1,1861
,159006,15,2,1,1951
,159007,15,2,1,843
,159008,15,2,1,1508
,159009,15,2,1,124.81
,161001,20,2,1,681
,161002,20,2,1,607
,161003,20,2,1,950
,161004,20,2,1,975
,161005,20,2,1,22
,161006,20,2,1,3
,163001,16,2,1,3538
,163002,16,2,1,1422
,163003,16,2,1,125
,165001,19,2,1,16
,165002,19,2,1,8
,165003,19,2,1,319
,165004,19,2,1,0
,165005,19,2,1,0
,167001,17,2,1,1109
,167002,17,2,1,896
,167003,17,2,1,1586
,167004,17,2,1,1500
,167005,17,2,1,1367
,167006,17,2,1,1053
,167007,17,2,1,359
,167008,17,2,1,123
,169001,19,2,1,139
,169002,19,2,1,559
,169004,19,2,1,286
,169006,19,2,1,0
,169007,19,2,1,236
,169008,19,2,1,0
,169009,19,2,1,72
,169010,19,2,1,184.49
,169012,19,2,1,365
,169013,19,2,1,15
,169014,19,2,1,112.51
,173001,14,2,1,391
,173002,14,2,1,2299
,173003,14,2,1,438
,173004,14,2,1,1130
,173005,14,2,1,67
,173006,14,2,1,1439
,173007,14,2,1,1782
,173008,14,2,1,1988
,173009,14,2,1,1283
,175001,16,2,1,361
,175002,16,2,1,1423
,175003,16,2,1,1690
,175004,16,2,1,569
,175005,16,2,1,1536
,175006,16,2,1,997
,175007,16,2,1,1135
,183001,18,2,1,69
,183002,18,2,1,0
,183003,18,2,1,5
,183004,18,2,1,0
,183005,18,2,1,123
,185001,12,1,1,115
,185002,12,1,1,503
